question_id,table_id,column_id,score
0,0,0,0.9999999999999999
0,0,1,0.8344837926698025
0,0,2,0.818854493079621
0,0,3,0.5829924109064113
0,0,4,0.7452373466458141
0,0,5,0.7781538042774727
0,0,6,0.49264753345581447
0,0,7,0.770909236647003
0,0,8,0.4921761817737862
0,0,9,0.7640059617734681
0,0,10,0.43229281805840303
0,0,11,0.5339011202600525
0,0,12,0.42504783757449677
0,0,13,0.4189850164821006
0,0,14,0.5012177137838606
0,0,15,0.4443685705348731
1,0,0,0.7293222183126928
1,0,1,0.7676528508773691
1,0,2,0.818854493079621
1,0,3,1.0
1,0,4,0.5547789213244764
1,0,5,0.7781538042774727
1,0,6,0.49264753345581447
1,0,7,0.702468517443781
1,0,8,0.5567300753307239
1,0,9,0.7307988297605574
1,0,10,0.4646940271218461
1,0,11,0.5339011202600525
1,0,12,0.4299464633700289
1,0,13,0.4604324073550295
1,0,14,0.5012177137838606
1,0,15,0.45465001421064394
2,0,0,0.5414378276912564
2,0,1,0.5921593808554442
2,0,2,0.6315705483679911
2,0,3,1.0
2,0,4,0.5547789213244764
2,0,5,0.5908698595658428
2,0,6,0.49264753345581447
2,0,7,0.5264512507881035
2,0,8,0.49952608998800574
2,0,9,0.5435148850489275
2,0,10,0.4646940271218461
2,0,11,0.5249199875207491
2,0,12,0.4299464633700289
2,0,13,0.4604324073550295
2,0,14,1.0
2,0,15,0.46838029915844825
3,0,0,0.9999999999999999
3,0,1,0.8344837926698025
3,0,2,1.0
3,0,3,0.5738209206934068
3,0,4,0.5547789213244764
3,0,5,0.7781538042774727
3,0,6,0.5514957561668203
3,0,7,0.770909236647003
3,0,8,0.4921761817737862
3,0,9,0.7640059617734681
3,0,10,0.4480025627403696
3,0,11,0.5078079143323262
3,0,12,0.4299464633700289
3,0,13,0.4189850164821006
3,0,14,0.5012177137838606
3,0,15,0.4307589991281934
4,0,0,0.9999999999999999
4,0,1,0.8344837926698025
4,0,2,0.818854493079621
4,0,3,1.0
4,0,4,0.5547789213244764
4,0,5,0.7781538042774727
4,0,6,0.49264753345581447
4,0,7,0.770909236647003
4,0,8,0.4921761817737862
4,0,9,0.7640059617734681
4,0,10,0.4646940271218461
4,0,11,0.5249199875207491
4,0,12,0.4299464633700289
4,0,13,0.4604324073550295
4,0,14,0.5012177137838606
4,0,15,0.4451769270783399
5,1,0,0.5570533175653775
5,1,1,0.4687115707086498
5,1,2,0.6480546155238067
5,1,3,1.0000000000000002
6,1,0,0.5976504654106141
6,1,1,1.0
6,1,2,0.5004345412568078
6,1,3,0.4687115707086498
7,1,0,0.5804134230272137
7,1,1,0.5004345412568078
7,1,2,0.9999999999999999
7,1,3,0.6480546155238067
8,2,0,0.3242347897751412
8,2,1,0.3607140515725542
8,2,2,0.5448936961515642
8,2,3,0.9999999999999998
8,2,4,0.5412973854656592
9,2,0,0.28362644906554674
9,2,1,0.3983010751557779
9,2,2,1.0
9,2,3,0.45249797231026234
9,2,4,1.0
10,2,0,0.3245386831922533
10,2,1,1.0
10,2,2,0.6344021360142182
10,2,3,0.4431136026878633
10,2,4,0.4844153172047253
11,2,0,0.4118571972661071
11,2,1,0.4750767624433746
11,2,2,1.0
11,2,3,0.45249797231026234
11,2,4,0.4812746063472536
12,3,0,0.30001222124001853
12,3,1,0.7203326520291592
12,3,2,0.9999999999999998
13,3,0,0.338881116054075
13,3,1,0.9999999999999998
13,3,2,0.7203326520291592
14,4,0,1.0
14,4,1,0.6703423739122526
14,4,2,0.7659567628492577
14,4,3,0.5070660261294715
14,4,4,0.5197316098952197
15,4,0,0.8531696100661998
15,4,1,0.7864658292012852
15,4,2,0.7981897842905248
15,4,3,0.5070660261294715
15,4,4,0.5197316098952197
16,4,0,0.8531696100661998
16,4,1,0.7092762906278296
16,4,2,0.8858576988129789
16,4,3,0.5070660261294715
16,4,4,0.5197316098952197
17,4,0,0.6479201898373295
17,4,1,0.6176975164949796
17,4,2,0.6213431435105884
17,4,3,0.7315027799558627
17,4,4,1.0
18,4,0,0.6288200146183744
18,4,1,0.6242585325369754
18,4,2,0.6102076077074505
18,4,3,1.0
18,4,4,0.6676409186378948
19,5,0,0.3098189009713912
19,5,1,0.4522533531058769
19,5,2,0.42953654902135074
19,5,3,0.4779401495775748
19,5,4,1.0
19,5,5,0.9999999999999999
19,5,6,0.4671844471393993
20,5,0,0.3098189009713912
20,5,1,0.4522533531058769
20,5,2,0.41859258385841697
20,5,3,0.45410759864455075
