question_id,table_id,row_id,score
0,0,0,0.4990858007026189
1,0,0,0.5558601577967197
2,0,0,0.443959989542835
3,0,0,0.493817449844274
4,0,0,0.5534142225758627
5,1,0,0.5446698088874341
6,1,0,0.5447885213310578
7,1,0,0.5414779077335248
8,2,0,0.5212336501059714
8,2,1,0.5562955402284578
8,2,2,0.5256205956672918
8,2,3,0.6069248187339596
8,2,4,0.5424964087137704
8,2,5,0.5240919034043161
8,2,6,0.7757241338914492
8,2,7,0.6348628240850618
8,2,8,0.6082662203940691
8,2,9,0.5824331350669786
8,2,10,0.6193794480669443
8,2,11,0.5841532847261319
8,2,12,0.6066858066970504
8,2,13,0.5395038529553459
8,2,14,0.5397469014459616
8,2,15,0.6170689619199032
8,2,16,0.565702846611378
8,2,17,0.5751827691750798
8,2,18,0.567250123292585
9,2,0,0.49914246902184284
9,2,1,0.5363955147513836
9,2,2,0.45889663554195403
9,2,3,0.5477233302633636
9,2,4,0.48887015792581057
9,2,5,0.4727551975153727
9,2,6,0.5130638567964179
9,2,7,0.5314307509687742
9,2,8,0.4709566916361822
9,2,9,0.4636270772671857
9,2,10,0.4738963102580925
9,2,11,0.6960511769384271
9,2,12,0.8261639653571867
9,2,13,0.5241469104686882
9,2,14,0.5157380567137587
9,2,15,0.5636351517198462
9,2,16,0.5498825260401238
9,2,17,0.5762634888422171
9,2,18,0.5389430974256332
10,2,0,0.6241265040041966
10,2,1,0.6018332478884513
10,2,2,0.5187608762073658
10,2,3,0.5278201513956918
10,2,4,0.5077860960909633
10,2,5,0.4977221244875862
10,2,6,0.4776666045420555
10,2,7,0.5676866979682762
10,2,8,0.5632516743709495
10,2,9,0.5428959102070553
10,2,10,0.5631668454212077
10,2,11,0.5277789020013878
10,2,12,0.47816417532646033
10,2,13,0.446365789258763
10,2,14,0.43580638133150973
10,2,15,0.6108292616837516
10,2,16,0.6138297358066279
10,2,17,0.6198676436209403
10,2,18,0.5789564166825074
11,2,0,0.5767760551517542
11,2,1,0.5096957943651023
11,2,2,0.493660401636087
11,2,3,0.5140744521307606
11,2,4,0.48784446815983723
11,2,5,0.4781128761151471
11,2,6,0.46342059713253125
11,2,7,0.5013285346557464
11,2,8,0.7023679978141754
11,2,9,0.6714887900875101
11,2,10,0.689955239631192
11,2,11,0.5304621556359138
11,2,12,0.46759165291274785
11,2,13,0.46244919605318124
11,2,14,0.4466220179006834
11,2,15,0.5558240577864089
11,2,16,0.5885368863455842
11,2,17,0.5450217232612854
11,2,18,0.5483592075092223
12,3,0,0.4318519003679648
12,3,1,0.5352549102889806
12,3,2,0.39588851288633925
12,3,3,0.430299810346384
12,3,4,0.41038552883997
12,3,5,0.41267730100085415
12,3,6,0.34780140467606274
12,3,7,0.3098443352952385
12,3,8,0.35943944222317364
12,3,9,0.35272175694739466
12,3,10,0.4342421473123048
12,3,11,0.385439771001876
12,3,12,0.4068381890919654
12,3,13,0.34780140467606274
12,3,14,0.510548393858173
12,3,15,0.536128469084374
12,3,16,0.5029907244171057
12,3,17,0.41195258595875706
12,3,18,0.3739832342630895
12,3,19,0.25759433349742683
12,3,20,0.24615223825936614
12,3,21,0.4096907238546475
12,3,22,0.5011281144379719
12,3,23,0.504724742734312
12,3,24,0.47060627204404304
12,3,25,0.49879627632635093
12,3,26,0.5106510609907458
12,3,27,0.46428507332009583
12,3,28,0.4663400051023506
12,3,29,0.5186535242490554
12,3,30,0.47866306908284373
12,3,31,0.4676080813908145
12,3,32,0.5189703321673942
12,3,33,0.49629778411532716
12,3,34,0.45313521158290426
12,3,35,0.48140750536093774
12,3,36,0.5024891566911698
12,3,37,0.5325625620505987
12,3,38,0.622515785838733
12,3,39,0.6137436863922527
12,3,40,0.4754346094137722
12,3,41,0.45939062976316236
12,3,42,0.5705872395479211
12,3,43,0.4706352675469649
12,3,44,0.521516619937872
12,3,45,0.4057327934726002
12,3,46,0.35598758338229963
12,3,47,0.3831419151667688
12,3,48,0.4029008603387075
12,3,49,0.3716087982567539
13,3,0,0.48130381668661176
13,3,1,0.3623579331200113
13,3,2,0.4047635786317158
13,3,3,0.41396722584341955
13,3,4,0.3556923237202552
13,3,5,0.36367712099476607
13,3,6,0.32123876574361804
13,3,7,0.3338923637360221
13,3,8,0.3573886071717874
13,3,9,0.36159682269277127
13,3,10,0.40265908814437557
13,3,11,0.33914452811335993
13,3,12,0.3631746380364771
13,3,13,0.32123876574361804
13,3,14,0.47923800157259716
13,3,15,0.5048180767987981
13,3,16,0.4679401413334402
13,3,17,0.4280786842989632
13,3,18,0.42500774332462565
13,3,19,0.27176604112838476
13,3,20,0.26145786481716443
13,3,21,0.4164898605442806
13,3,22,0.4195785173264314
13,3,23,0.39040013627500525
13,3,24,0.46772648445685566
13,3,25,0.4577422606374045
13,3,26,0.46287414700510526
13,3,27,0.3901055330825957
13,3,28,0.47282842009675996
13,3,29,0.46786558491627867
13,3,30,0.3882510180622603
13,3,31,0.5275021287172226
13,3,32,0.558692729860443
13,3,33,0.5075552975210437
